id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,metode_kb,jenis_kb,jumlah_peserta,satuan,tahun
106,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NON MKJP,OBAT VAGINA,0,ORANG,2018
107,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NON MKJP,PIL,93498,ORANG,2018
108,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NON MKJP,SUNTIK,156851,ORANG,2018
109,32,JAWA BARAT,3213,KABUPATEN SUBANG,MKJP,IMPLAN,18083,ORANG,2018
110,32,JAWA BARAT,3213,KABUPATEN SUBANG,MKJP,IUD,20532,ORANG,2018
111,32,JAWA BARAT,3213,KABUPATEN SUBANG,MKJP,MOP,1947,ORANG,2018
112,32,JAWA BARAT,3213,KABUPATEN SUBANG,MKJP,MOW,6313,ORANG,2018
113,32,JAWA BARAT,3213,KABUPATEN SUBANG,NON MKJP,KONDOM,1281,ORANG,2018
114,32,JAWA BARAT,3213,KABUPATEN SUBANG,NON MKJP,LAINNYA,0,ORANG,2018
115,32,JAWA BARAT,3213,KABUPATEN SUBANG,NON MKJP,OBAT VAGINA,0,ORANG,2018
116,32,JAWA BARAT,3213,KABUPATEN SUBANG,NON MKJP,PIL,16124,ORANG,2018
117,32,JAWA BARAT,3213,KABUPATEN SUBANG,NON MKJP,SUNTIK,96942,ORANG,2018
118,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MKJP,IMPLAN,9698,ORANG,2018
119,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MKJP,IUD,15243,ORANG,2018
120,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MKJP,MOP,1116,ORANG,2018
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MKJP,MOW,3404,ORANG,2018
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NON MKJP,KONDOM,2364,ORANG,2018
123,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NON MKJP,LAINNYA,0,ORANG,2018
124,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NON MKJP,OBAT VAGINA,0,ORANG,2018
125,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NON MKJP,PIL,37276,ORANG,2018
126,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NON MKJP,SUNTIK,67190,ORANG,2018
127,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MKJP,IMPLAN,30689,ORANG,2018
128,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MKJP,IUD,18163,ORANG,2018
129,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MKJP,MOP,1674,ORANG,2018
130,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MKJP,MOW,9687,ORANG,2018
131,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NON MKJP,KONDOM,6599,ORANG,2018
132,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NON MKJP,LAINNYA,0,ORANG,2018
133,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NON MKJP,OBAT VAGINA,0,ORANG,2018
134,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NON MKJP,PIL,85276,ORANG,2018
135,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NON MKJP,SUNTIK,173457,ORANG,2018
136,32,JAWA BARAT,3216,KABUPATEN BEKASI,MKJP,IMPLAN,42363,ORANG,2018
137,32,JAWA BARAT,3216,KABUPATEN BEKASI,MKJP,IUD,79839,ORANG,2018
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,MKJP,MOP,4451,ORANG,2018
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,MKJP,MOW,14978,ORANG,2018
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,NON MKJP,KONDOM,13772,ORANG,2018
141,32,JAWA BARAT,3216,KABUPATEN BEKASI,NON MKJP,LAINNYA,120,ORANG,2018
142,32,JAWA BARAT,3216,KABUPATEN BEKASI,NON MKJP,OBAT VAGINA,194,ORANG,2018
143,32,JAWA BARAT,3216,KABUPATEN BEKASI,NON MKJP,PIL,208789,ORANG,2018
144,32,JAWA BARAT,3216,KABUPATEN BEKASI,NON MKJP,SUNTIK,298039,ORANG,2018
145,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MKJP,IMPLAN,18655,ORANG,2018
146,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MKJP,IUD,27640,ORANG,2018
147,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MKJP,MOP,2291,ORANG,2018
148,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MKJP,MOW,6186,ORANG,2018
149,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NON MKJP,KONDOM,5097,ORANG,2018
150,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NON MKJP,LAINNYA,0,ORANG,2018
